,id,text,model,split,few_shot_condtion
0,b6b87e54-b334-44aa-9106-5642e226b4ae,Das Essen war auch lecker.,Llama70B,5,fixed
1,a2a0f770-171e-4f58-8b5b-7cf1ccc83523,Die Preise sind angemessen.,Llama70B,5,fixed
2,dd98af7c-1829-4dda-adb4-0d94d57628b4,Das Essen war ok.,Llama70B,5,fixed
3,f8bbacc6-5a7f-4dff-ab2a-41ce4adcadaa,Immerhin ist das Ambiente sehr schön.,Llama70B,5,fixed
4,0eee788f-8c1e-4602-bb6b-c614eeb1a362,Die Atmosphäre ist eher schlicht.,Llama70B,5,fixed
5,2733a336-a337-46ef-9078-9c371b65bd63,"Wir waren mit 2 Kindern da, die Atmosphäre war sehr laut und unruhig.",Llama70B,5,fixed
6,cf1b737d-991b-4718-a0a3-40310dcc1e9f,Wir waren aber gerade zu spät dran und mussten warten.,Llama70B,5,fixed
7,45541847-c027-490a-85fc-2b1adcf96194,Die Bedienung war auch sehr freundlich und hilfsbereit.,Llama70B,5,fixed
8,acb1c752-225e-4b2f-a7fc-3ee303eba4d2,Die Atmosphäre im Lokal ist etwas kühl und die Bedienung nicht sehr aufmerksam.,Llama70B,5,fixed
9,c8ef9981-11db-416e-93ba-da139daa8b7c,Das Essen ist einfach schrecklich.,Llama70B,5,fixed
10,b06c078b-c683-4779-94ba-fdaa6131586f,"Das Essen war nicht so gut, wie ich es erwartet hatte.",Llama70B,5,fixed
11,3e010f34-a696-4da1-bae1-b30304e47a76,Nicht so wie hier.,Llama70B,5,fixed
12,fe346e6d-56ff-4dc0-a189-0bebd6e5e3ac,Leider ist das Restaurant nicht mehr so wie es war.,Llama70B,5,fixed
13,37942c93-4a2f-43a3-b4dc-8ff6f4b7162d,Auch die Atmosphäre ist sehr gemütlich.,Llama70B,5,fixed
14,52ae8dba-ca1f-4e02-8452-8eea744a0c62,Ich finde den Service nicht so gut.,Llama70B,5,fixed
15,bf33467d-f2d0-40d5-a952-e40650da4139,Ein Gemüse mit etwas Fett und Soße hätte auch gut getan.,Llama70B,5,fixed
16,ea3f09f0-82d7-4fc5-a119-9cc879d89bd3,Das Restaurant hat eine außergewöhnlich schöne und zur richtigen Zeit auch ruhige Atmosphäre,Llama70B,5,fixed
17,b072c5bf-9d5c-4631-b80a-02af1d4227d9,"Die Preise sind angemessen, aber nicht günstig.",Llama70B,5,fixed
18,3f44a6ea-80c6-4df2-8aee-9662f1089de1,Die Atmosphäre war angenehm.,Llama70B,5,fixed
19,c013ec7d-56b9-4609-b88e-9fddb66ee06e,"Zurück zum Essen: Hätt ich das Essen mit dem Preis vergleichen müssen, hätte ich auch nur 1 Stern gegeben.",Llama70B,5,fixed
20,ce00e60e-a9dd-479a-98d3-e0b24976e65e,Nur der Preis war für uns etwas zu hoch.,Llama70B,5,fixed
21,e5198e76-8c3d-4b71-80fb-f30d9159f73e,"Die Pizza war gut, die Lasagne und der Fisch waren leider nicht so gut.",Llama70B,5,fixed
22,49b4c679-b1ee-4c5a-8bad-aaaf96015f1b,"Preise sind ok, aber Service und Essen (Atmosphäre) sind noch zu verbessern.",Llama70B,5,fixed
23,1b82fe09-fed3-4f8f-98a2-ae60479ce896,Wir waren dort mit 2 Kindern und haben uns sehr wohl gefühlt.,Llama70B,5,fixed
24,5a4ea85b-b2fc-478d-b472-49e744a4ed4f,Mit dem Essen war ich nicht so zufrieden.,Llama70B,5,fixed
25,ece5b5f6-b5ce-4d04-a0d2-bbf65110c535,Kalte Küche sehr lecker und Pizza auch.,Llama70B,5,fixed
26,b84a7a65-288f-42d5-8914-38d67e44e4a7,"Das Essen war gut, aber nichts Besonderes.",Llama70B,5,fixed
27,cc08fdf9-da94-4cac-9993-e6f772468a12,Die Atmosphäre ist leider nicht so wie ich es erwartet hatte.,Llama70B,5,fixed
28,632940db-816b-45a5-99a3-d6e252bec329,Das Essen war lecker und die Bedienung sehr freundlich.,Llama70B,5,fixed
29,4ef54d65-76c3-4246-97a1-b5bcd446de34,Einige Küchengegenstände waren nicht sauber.,Llama70B,5,fixed
30,12227901-42e6-4bc9-85c4-551e8c8e99c9,"Wer wirklich ein gutes Steak essen möchte, sollte sich lieber woanders umsehen.",Llama70B,5,fixed
31,9db8963b-49a2-40f8-85db-7b2579c7a936,Ein schöner Abend mit guter Musik.,Llama70B,5,fixed
32,8eb63ead-f681-4aad-88aa-485706994b0c,Wir waren mit 4 Leuten dort und haben uns alle sehr enttäuscht gefühlt.,Llama70B,5,fixed
33,41b8c209-e094-44c6-b722-f7bbe9624bfa,Es war einfach zu laut und der Lärm stört.,Llama70B,5,fixed
34,26bb3ca9-e6fb-423c-a9ee-19c302f30053,Das Restaurant ist sehr schön und das Essen war lecker.,Llama70B,5,fixed
35,bc32d0a0-c824-4891-86c7-b05b965daf88,Nur die Beleuchtung war etwas zu hell.,Llama70B,5,fixed
36,afcad8f3-ba84-47fe-bfc1-9b59596e05c0,"Immer wenn wir dort essen gehen, ist es schön und gemütlich.",Llama70B,5,fixed
37,de322c24-8119-4118-a8e7-7090beb72e60,"Die Haxen waren knusprig, das Fleisch zart.",Llama70B,5,fixed
38,989b9911-9c71-4c16-9c75-f439c6022c47,Die Atmosphäre war eher laut und unruhig.,Llama70B,5,fixed
39,2fb46633-22ea-461d-a793-8cbd7e26b245,Das Personal ist sehr freundlich und das Essen lecker.,Llama70B,5,fixed
40,3e23bb81-d038-4697-adf9-e197d0fe7d02,"Wir waren am 24.12.2015 dort und haben uns sehr wohl gefühlt, das Restaurant ist sehr gemütlich eingerichtet und hat eine schöne Atmosphäre.",Llama70B,5,fixed
41,7401a708-72dd-4a36-a1c8-a18f357943a7,Nur leider war der Boden etwas schlüpfrig.,Llama70B,5,fixed
42,d074c1b1-315c-4712-b183-fbe89bfcbc36,"Der Preis war in Ordnung, aber die Haxe war nicht gut.",Llama70B,5,fixed
43,37b35c9d-fea4-4a7a-8f70-234740780431,"Das Essen war sehr gut, die Preise waren angemessen.",Llama70B,5,fixed
44,367add2c-6e6a-4071-9764-91b13d1f9554,Leider war das Essen nicht so gut wie erwartet.,Llama70B,5,fixed
45,d792df28-4b9a-4cf6-948c-8e2a01b66cbc,"Der Service war langsam, wir mussten mehrmals nachfragen.",Llama70B,5,fixed
46,f2d3a48a-c4d1-4e9c-bc0b-9ab28a0d8b4f,"Das Ambiente ist eher schlicht, aber das passt auch zu der Küche.",Llama70B,5,fixed
47,775ccd9e-22d2-4681-8bc4-3ab74ebd9b77,"Einige Gerichte, wie das Kalbsgulasch, sind auch etwas zu teuer.",Llama70B,5,fixed
48,cbfc15eb-89b6-4ebb-863c-0eaa46efed8c,"Das ist nicht das schlechteste, aber auch nicht das beste Restaurant in der Stadt.",Llama70B,5,fixed
49,088b043a-ed15-4baa-b3ca-70ae9b82160e,Wir waren in einer kleinen Gruppe dort und wurden sehr freundlich und schnell bedient.,Llama70B,5,fixed
50,1e6535d2-d35b-451f-adca-7633b6bab0b1,Ein gutes Restaurant mit sehr netten Bedienungen und einem sehr fairen Preis/Leistungsverhältnis.,Llama70B,5,fixed
51,690adefc-fbe1-43a6-be41-12b6b113abac,Die Atmosphäre war sehr laut und nicht gemütlich.,Llama70B,5,fixed
52,6d43b453-7090-4fde-a128-7d135d50ed0d,Die Bedienung war sehr freundlich und zuvorkommend.,Llama70B,5,fixed
53,e97ac568-0c8c-43eb-aa81-2470f6c3e587,Die Hähnchen war sehr zart und das Fleisch vom Kotelett schmackhaft.,Llama70B,5,fixed
