,id,text,model,split,few_shot_condtion
0,4244c002-08ad-42dd-9eb2-2051885d355f,Das Preis-Leistungs-Verhältnis ist nicht angemessen.,GPT-3,5,random
1,288889e5-741e-47d6-a570-ea73ea531664,Die Preise sind viel zu hoch für die Qualität des Essens.,GPT-3,5,random
2,f9a1c321-979b-41f0-855f-1349e327f1e2,Das Essen war ausgezeichnet.,GPT-3,5,random
3,cefd4c62-9714-4d65-a224-391a05f71dd9,"Der Service war in Ordnung, aber die Preise waren zu hoch für die Qualität der Speisen.",GPT-3,5,random
4,d62e25c1-e8cc-4c83-b2e6-445e161baa68,Das Essen war wirklich gut und das Preis-Leistungs-Verhältnis stimmt.,GPT-3,5,random
5,40008993-880c-445d-a867-3d3b2f0895b2,Das Ambiente war enttäuschend und nicht gemütlich.,GPT-3,5,random
6,5b87ba8d-faf8-4c06-af81-770f2af56a1c,"Das Restaurant ist zwar etwas laut, aber das Essen ist wirklich gut.",GPT-3,5,random
7,8bc9f9a3-8fca-4e86-87e7-0014dd41c7b7,Der Service war sehr zuvorkommend und freundlich.,GPT-3,5,random
8,e2d4aa9b-57ae-43f0-9169-1c9de378436d,Das Ambiente war enttäuschend und nicht gemütlich.,GPT-3,5,random
9,16defce4-362e-4c7f-adaa-a164ed2474fa,Der Service war in Ordnung.,GPT-3,5,random
10,586c09ae-f005-47ba-8732-2aa13f429c8f,Die Preise waren angemessen.,GPT-3,5,random
11,db596d6b-0c29-48f7-b80f-d6529719c140,"Das Essen war okay, aber nichts Besonderes.",GPT-3,5,random
12,13fc4abb-e09d-4026-85b5-61d3c2452177,Das Restaurant hat eine angenehme Atmosphäre und der Service war in Ordnung.,GPT-3,5,random
13,d1fb231a-bd51-4eea-bf58-1dc996480e68,Die Atmosphäre war okay.,GPT-3,5,random
14,c43ea953-4ea0-4d90-b14c-bf2b876526e8,Das Restaurant hat eine wunderschöne Terrasse.,GPT-3,5,random
15,2e8580dc-dbd5-49de-b21d-c13786fb7b35,Das Ambiente war sehr angenehm.,GPT-3,5,random
16,e1a37814-5b3d-4425-9bbe-be7e9de6ee4f,Der Service war sehr unfreundlich und das Essen viel zu teuer.,GPT-3,5,random
