id,second_annotator_comment,annotation,aspect_available_without_judgement,text,model,few_shot_condtion,split
a49a6f01-1ecc-4da0-b76b-f283f518fc60,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,Wir waren sehr zufrieden.,Llama70B,random,0
d6c3769c-e06a-4b05-8ccf-e1338af83856,,"('FOOD', 'POSITIVE', 'Essen')
('SERVICE', 'NEGATIVE', 'Service')
",,"Das Essen war gut, aber der Service leider nicht.",Llama70B,random,0
3772b851-5f3f-49a4-b456-dd1e8878abf4,,"('PRICE', 'NEGATIVE', 'NULL')
",,Viel zu teuer für das was man bekommt.,Llama70B,random,0
011243dc-960f-4c73-8d8c-3c6238011f63,,,,Wir waren schon öfters hier.,Llama70B,random,0
63a89c9b-458a-466b-89c3-462b9f1b1833,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')
",,Das Restaurant ist sehr empfehlenswert.,Llama70B,random,0
3f4e12a0-05ef-44ca-9ef5-5ebe9a884384,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,Wir kommen gerne wieder.,Llama70B,random,0
47274208-f4bd-4407-9eb5-f4d21c14807c,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
('SERVICE', 'POSITIVE', 'Service')
",,Das Ambiente war sehr gemütlich und der Service hervorragend.,Llama70B,random,0
9ee7c693-3403-4fd5-b0e1-85c196c156c8,,"('FOOD', 'NEUTRAL', 'NULL')
('SERVICE', 'POSITIVE', 'Personal')
",,Mit freundlichem Personal und einer ganz normalen Kuchenküche.,Llama70B,random,0
69c3503a-9820-444f-b2a1-b4c9184bb9a0,,"('AMBIENCE', 'POSITIVE', 'Atmosphäre')
",,Die Atmosphäre ist gemütlich.,Llama70B,random,0
dc4808a8-e91c-41eb-b1a8-2f02b83bc025,,"('SERVICE', 'NEGATIVE', 'Service')
",,"Dabei war der Service so ziemlich nicht vorhanden, es dauerte ewig bis man jemanden sah und dann wieder ewig bis einer kam.",Llama70B,random,0
bc429f65-29ef-40a5-8933-ba9b072234bb,,"('SERVICE', 'CONFLICT', 'Service')
",,"Zurück zum Service: sehr freundlich, aber unerfahren.",Llama70B,random,0
a1668f68-5761-4eab-ab1c-67213cfcc4ad,,"('FOOD', 'NEUTRAL', 'Gerichte')
",,Gerichte eher durchschnittlich.,Llama70B,random,0
801f9523-72cf-48b1-aaae-45843fa4898c,,"('PRICE', 'NEGATIVE', 'Preis')
",,Hier ist der Preis für die Qualität einfach zu hoch.,Llama70B,random,0
06df319f-2a0b-4ac7-825c-cf5bb063b5ac,,"('FOOD', 'POSITIVE', 'Pizza')
",,Die Pizza war sehr gut.,Llama70B,random,0
d207fb53-3e84-4e13-afd3-f80ae5436ad7,,"('FOOD', 'NEGATIVE', 'Kalamari')
",,Die Kalamari waren aber leider zu fettig.,Llama70B,random,0
2e654381-cc86-40cb-91a7-86d5c215aebf,,"('FOOD', 'NEUTRAL', 'Tapas')
",,"Wir hatten Tapas, die waren allesamt gut, aber nichts Besonderes.",Llama70B,random,0
83069a96-8878-445a-bcb3-94c4257aab5e,,"('PRICE', 'NEUTRAL', 'Preisniveau')
",,"Das Preisniveau ist okay, aber es gibt auch bessere Pizzerien in Karlsruhe.",Llama70B,random,0
74feda28-4d9d-47e8-8c7a-c06b44952160,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,Wir waren sehr enttäuscht.,Llama70B,random,0
f436c400-c8b4-4d50-8648-073dba13775c,,"('GENERAL-IMPRESSION', 'CONFLICT', 'ausgeglichener Abend mit guten und weniger guten Momenten.\\n')
",,Ein ausgeglichener Abend mit guten und weniger guten Momenten.,Llama70B,random,0
9fb67685-1b8f-4c2d-ac69-d2ea88a4ed02,,"('AMBIENCE', 'POSITIVE', 'Atmosphäre')
",,Eine schöne Atmosphäre hat es auch.,Llama70B,random,0
3a500ea0-4aa5-4dbb-88fb-23e206c6a59e,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Lokal')
",,"Wenn man sich aber auf die Kölsche Art einlässt, ist dies ein schönes Lokal.",Llama70B,random,0
193d52e9-b0db-47dc-8af6-5c5784671ded,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
",,"Ein schönes Ambiente, das man so bald nicht wieder findet.",Llama70B,random,0
df98a93a-1111-4541-b284-b92e64ac0cc8,,"('AMBIENCE', 'NEGATIVE', 'Atmosphäre')
('FOOD', 'NEGATIVE', 'Speisen')
",,Die Atmosphäre war sehr laut und die Speisen nicht zu empfehlen.,Llama70B,random,0
c6b1ffe2-654e-4c1f-94cc-e51917ab8e54,,"('FOOD', 'NEUTRAL', 'Essen')
",,"Das Essen war ok, aber nichts Besonderes.",Llama70B,random,0
5c0c787c-9474-468b-adfa-31a16d583522,,"('SERVICE', 'POSITIVE', 'Personal')
",,Das Personal war sehr freundlich.,Llama70B,random,0
1fe3a92e-d989-4ff6-8e2f-c33aba18af9f,,"('FOOD', 'NEGATIVE', 'Essen')
('SERVICE', 'POSITIVE', 'Personal')
",,"Das Essen war leider nicht so gut wie das Personal, welches immer freundlich und zuvorkommend ist.",Llama70B,random,0
27f7faab-c98b-48cd-a90f-0e2095a03bc6,,"('PRICE', 'NEGATIVE', 'NULL')
",✅,Für die Qualität ist das Restaurant zu teuer.,Llama70B,random,0
372d0c34-ff09-4456-87fd-fb8db4e100f4,,"('PRICE', 'POSITIVE', 'Preis')
('SERVICE', 'NEGATIVE', 'Bedienung')
",,"Der Preis war sehr hoch, die Bedienung sehr langsam.",Llama70B,random,0
20509ef6-c903-485f-bede-b0fc83d3bb98,,,✅,Noch dazu rochen wir sehr unangenehm nach Frittierfett.,Llama70B,random,0
47211345-e040-43de-9154-fed0ae4f3b0c,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
('AMBIENCE', 'NEGATIVE', 'Atmosphäre')
",,"Wir waren dort zum ersten Mal und es hat uns sehr gut gefallen, auch wenn die Atmosphäre nicht so toll war.",Llama70B,random,0
b00f2917-0523-488a-85ac-4f829638a883,,"('GENERAL-IMPRESSION', 'NEUTRAL', 'NULL')
('PRICE', 'NEGATIVE', 'Essen')
",,"Besuch war nicht schlecht, aber auch nicht der Hammer und das Essen war auch nicht gerade billig.",Llama70B,random,0
d37aaec5-e10e-4d01-accf-794585ab49ed,,"('PRICE', 'POSITIVE', 'Auswahl an Getränken')
",,Der Preis ist angemessen und für eine große Auswahl an Getränken.,Llama70B,random,0
8aea11e7-4606-44d1-9318-0ef56a6d1a1c,,"('PRICE', 'NEUTRAL', 'Preis')
('AMBIENCE', 'NEGATIVE', 'Ambiente')
",,"Preis ist ok, Ambiente nicht wirklich.",Llama70B,random,0
ca4e6f13-8bc2-4d5f-bff5-9fc24b79d3ba,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Restaurant')
('FOOD', 'POSITIVE', 'Küche')
",,Alles in allem ein sehr angenehmes Restaurant mit einer guten Küche.,Llama70B,random,0
0bf06a37-9cd8-4ae1-bb97-017046ee59f4,,"('FOOD', 'NEGATIVE', 'Essen')
('SERVICE', 'NEGATIVE', 'Bedienung')
",,"Nicht nur das Essen ist ein Desaster, sondern auch die Bedienung.",Llama70B,random,0
92466ace-2b26-4506-903c-ea30899a23ae,,,✅,Das Restaurant ist nicht mehr wie früher.,Llama70B,random,0
141d508f-ffed-47b7-9db7-e410d5033a69,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
",,"Ambiente sehr schön, Rest nicht.",Llama70B,random,0
a94b668a-59f8-4b11-9e25-983c4eb6f8ab,,"('PRICE', 'NEUTRAL', 'Preis')
",,Zum Preis war das alles in Ordnung.,Llama70B,random,0
fe1c8b3d-104a-412b-bcb0-6e1b22e3013c,,"('PRICE', 'NEGATIVE', 'Kaffeepreise')
",,Die Kaffeepreise sind echt absurd.,Llama70B,random,0
1495609d-1f82-40c7-84bf-47d4fdc69e45,,"('PRICE', 'NEUTRAL', 'Preis-Leistungsverhältnis')
('FOOD', 'NEGATIVE', 'Pizza')
('AMBIENCE', 'NEGATIVE', 'Ambiente')
('SERVICE', 'NEGATIVE', 'Service')
",,"Nur das Preis-Leistungsverhältnis ist in Ordnung, aber die Pizza, das Ambiente und der Service ist nichts wert.",Llama70B,random,0
795889f5-8789-4bef-a5d2-205812774725,,"('FOOD', 'NEGATIVE', 'Pizza')
",,"Die Pizza war auch nicht besonders gut, dafür zu dünn und ohne Geschmack.",Llama70B,random,0
337b0ad0-fe4b-4d5a-96ce-a03fd1a68cfa,,"('AMBIENCE', 'POSITIVE', 'Einrichtung')
('SERVICE', 'POSITIVE', 'Personal')
",,"Die Einrichtung ist sehr gemütlich, das Personal freundlich und aufmerksam.",Llama70B,random,0
a88b7210-e4b2-46d1-ab33-65966466c2c1,,"('AMBIENCE', 'NEGATIVE', 'Atmosphäre')
",,Die Atmosphäre ist nicht so angenehm.,Llama70B,random,0
71320131-0766-4049-ad80-96a136551e84,,"('PRICE', 'NEGATIVE', 'NULL')
('FOOD', 'CONFLICT', 'Essen')
",,"Das Essen war gut, aber nichts Außergewöhnliches und auch zu teuer.",Llama70B,random,0
cacd0220-392c-4114-be6b-022288b700a4,,"('PRICE', 'NEGATIVE', 'NULL')
('FOOD', 'POSITIVE', 'Essen')
",,"Das Essen ist zwar gut, aber leider zu teuer.",Llama70B,random,0
87951a52-edd1-4838-b796-f4406f9ecc2a,,"('SERVICE', 'POSITIVE', 'Service')
('FOOD', 'POSITIVE', 'Essen')
",,Top Service und tolles Essen.,Llama70B,random,0
332a6e62-e193-46f5-bb83-286f9eac0ec7,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'Restaurant')
",,"Es ist schade, dass sich das Restaurant in den letzten Jahren so zu einem typischen Kettenrestaurant entwickelt hat.",Llama70B,random,0
089c12cf-5a77-4c2f-8a07-58f137944455,,"('FOOD', 'POSITIVE', 'Essen')
('SERVICE', 'POSITIVE', 'Service')
",✅,"Ruhe, Atmosphäre, gutes Essen und netter Service.",Llama70B,random,0
e103e8c5-51b7-4163-9b38-1a5b09adb236,,,✅,Wir warten auf unsern Kellner und können uns nur anschauen wie die anderen Gäste bedient werden.,Llama70B,random,0
f607aa69-0847-4c10-8883-7e572584bb81,,"('FOOD', 'NEUTRAL', 'Essen')
",,"Das Essen war für mich nur OK, aber nichts Besonderes.",Llama70B,random,0
fa12d4bc-383e-4f62-8c6e-9831c5704620,,,✅,"Es gibt vieles zu entdecken und man kann sich auch für Gerichte anregen lassen, die man sonst nie bestellt hätte.",Llama70B,random,0
13e47d7b-ff08-48d4-aa59-1a0a8a666cd1,,"('SERVICE', 'POSITIVE', 'Service')
('AMBIENCE', 'POSITIVE', 'Ambiente')
",,"Super Service, tolles Ambiente.",Llama70B,random,0
e5d91f68-21a1-4803-b935-8aabe17b7af6,,"('SERVICE', 'POSITIVE', 'Personal')
",,Das Personal war freundlich aber nicht übermässig.,Llama70B,random,0
1a5fe933-9403-4447-b1a9-8673782887ab,,,✅,"Wir können nichts über die Qualität des Essens sagen, da wir nur den Kaffee tranken.",Llama70B,random,0
e928c31e-002d-461d-9305-ddec52f2f4a0,,"('FOOD', 'POSITIVE', 'Essen')
",✅,Für den Preis bekommt man ein sehr gutes Essen.,Llama70B,random,0
d109f5ac-7d0e-4a7c-bef8-6e952ad5dea0,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
",,"Das Ambiente ist eher einfach, aber gemütlich.",Llama70B,random,0
c6803af3-b84e-4294-8e01-1a8e53d4ccb4,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'Restaurant')
",,Das Restaurant ist nicht mehr so gut wie früher.,Llama70B,random,0
88a8e368-2335-463a-ae28-9d6f58af790b,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,"Nicht schlecht, aber auch nicht so toll.",Llama70B,random,0
a5d28a2f-403a-4c97-9483-b26b12b7e4a4,,"('FOOD', 'POSITIVE', 'Pizza mit Ziegenkäse')
",,"Wir hatten die Pizza mit Ziegenkäse, die war sehr schön.",Llama70B,random,0
37b01e67-a58c-493f-90f7-658e2fa5a461,,,✅,Ein Service wie aus einem anderen Zeitalter.,Llama70B,random,0
d185a681-dddf-48f8-8e07-6a36109b1f09,,,✅,"Kommt man vorbei und sieht das Personal in der Küche herumstehen, kommt man lieber nicht rein.",Llama70B,random,0
7df22407-1402-4de7-ae4d-f1ac538fccd1,,"('FOOD', 'NEGATIVE', 'Brot')
",,"Wir hatten die Pizza mit der Preis, die war sehr klein und das Brot war so hart, dass man es kaum essen konnte.",Llama70B,random,0
cd52f76e-47c4-4d5a-8e58-0a2445f314b2,,"('SERVICE', 'NEGATIVE', 'Personal')
",,Das Personal war nicht freundlich.,Llama70B,random,0
c2793b86-5480-4a47-935f-8a3fd32732e0,,"('SERVICE', 'POSITIVE', 'Bedienung')
('SERVICE', 'POSITIVE', 'Wartezeit')
",,Die Bedienung war freundlich und die Wartezeit nicht zu lang.,Llama70B,random,0
1c19f920-e8ad-4ca5-a087-05610ed7cb54,,"('SERVICE', 'NEGATIVE', 'Service')
",,Aber der Service ist wirklich erbärmlich.,Llama70B,random,0
77ccc9a1-cfbf-40e1-960c-863687fbbc88,,"('FOOD', 'POSITIVE', 'Essen')
",,Ein Essen für den guten Geschmack.,Llama70B,random,0
e0d6dcb0-0d8c-4530-b99b-c142e39d1511,,"('SERVICE', 'NEGATIVE', 'Personal')
",,Das Personal ist sehr unfreundlich und hat keine Ahnung von Kaffee.,Llama70B,random,0
2f72427a-24ce-41f5-8d6d-590002ab1265,,"('FOOD', 'POSITIVE', 'Essen')
('FOOD', 'POSITIVE', 'Kaffee')
",,Das Essen war lecker und der Kaffee auch.,Llama70B,random,0
7faa4433-2df6-49cc-8a26-0a8017f0b4c2,,"('AMBIENCE', 'NEGATIVE', 'Ambiente')
",,"Ein Ambiente, das ich persönlich nicht mag.",Llama70B,random,0
812dd9fe-9977-4102-abfd-665c55b73ba0,,"('PRICE', 'NEGATIVE', 'NULL')
",,Leider zu teuer für das was man bekommt.,Llama70B,random,0
