,id,text,model,split,few_shot_condtion
0,14d7683a-51a1-4771-9303-6891efbe8a0c,"Das Essen war okay, aber nichts Besonderes.",GPT-3,5,fixed
1,b219b064-0fcb-4690-bab2-2856fee90abf,"Das Essen war zwar etwas teurer, aber die Qualität hat sich gelohnt.",GPT-3,5,fixed
2,442191b7-2d45-47b4-897c-5ee89d1e3626,"Die Speisen waren okay, aber nicht besonders beeindruckend.",GPT-3,5,fixed
3,8c3aa26a-b7b4-492c-98c1-4412e4a3ce43,Die Atmosphäre war weder besonders gut noch schlecht.,GPT-3,5,fixed
4,f4f84e43-351a-4312-b90e-c68cfd211b24,Das Restaurant hat eine durchschnittliche Atmosphäre.,GPT-3,5,fixed
5,7a896d85-e262-46d2-81ca-f3701f17c34e,Die Musik war zu laut und der Service war in Ordnung.,GPT-3,5,fixed
6,3bcbae07-c0cf-46e7-acb2-8375330b8302,"Der Service war enttäuschend, aber das Essen war ausgezeichnet.",GPT-3,5,fixed
7,ff2d6105-ed30-44c8-bc0d-cc71aabba69d,Das Personal war sehr freundlich und aufmerksam.,GPT-3,5,fixed
8,d507ec65-d6a1-4264-b781-481af00dfce2,Die Musik war viel zu laut und hat die Atmosphäre negativ beeinflusst.,GPT-3,5,fixed
9,3c852772-6c53-49b8-ad59-9d303bfc6e19,Die Pasta war leider zu salzig.,GPT-3,5,fixed
10,c9f5044e-73a5-4f43-9070-318efd0f1fea,Das Personal war sehr unfreundlich und unprofessionell.,GPT-3,5,fixed
11,fab55867-ac17-4aa8-8f00-357b1d1dc1d8,Das Personal war sehr unfreundlich und unprofessionell.,GPT-3,5,fixed
12,19175e14-1ec1-4009-b12e-b66e38cd4ffe,Das Restaurant hat uns enttäuscht.,GPT-3,5,fixed
13,9d337853-fc99-4ef7-a641-cb11247300b9,Die Einrichtung ist modern und gemütlich.,GPT-3,5,fixed
14,f7dd0414-0e7d-4d5b-b652-e430e3bca924,Der Service war in Ordnung.,GPT-3,5,fixed
15,84182a41-b9ae-4d42-b50e-3705a13b52ef,"Das Essen war in Ordnung, aber insgesamt war ich nicht beeindruckt.",GPT-3,5,fixed
16,92369f39-6394-4a8c-bc52-da1223b2f645,Das Restaurant bietet eine tolle Auswahl an Gerichten und der Service ist sehr freundlich.,GPT-3,5,fixed
17,d4226825-1443-4cd4-aaee-eade2ef8a50d,Die Preise sind angemessen.,GPT-3,5,fixed
18,f542a1e2-2c45-40e7-8bbf-fa05e981ab75,Die Einrichtung des Restaurants ist schlicht und unauffällig.,GPT-3,5,fixed
19,25e9b627-24d2-4111-a0f9-7fccfa2064c9,"Das Essen war enttäuschend, der Service war in Ordnung, das Restaurant hatte eine angenehme Atmosphäre und insgesamt war der Besuch eher durchschnittlich.",GPT-3,5,fixed
20,3d2a1104-fce8-4187-8bf1-58e997388796,"Die Preise waren zu hoch und insgesamt war der Eindruck eher neutral, auch das Ambiente war nicht besonders.",GPT-3,5,fixed
21,b5c8e647-cf1e-479e-84bd-be6f21dd1c8b,"Das Essen war lecker, die Getränke waren in Ordnung, aber der Dessert war enttäuschend.",GPT-3,5,fixed
22,a41d9280-ff03-464d-bde8-33c007c48ec0,"Die Preise waren angemessen, der Service ließ jedoch zu wünschen übrig, das Essen war jedoch sehr gut, aber das Ambiente war nicht besonders schön.",GPT-3,5,fixed
23,ca49d4d7-e94a-4c4e-91d2-dca3ca965e85,"Das Essen war hervorragend, der Service war in Ordnung und die Preise waren angemessen.",GPT-3,5,fixed
24,e8675423-62ad-42c4-ba0b-fab27f270c26,Das Essen war leider ungenießbar.,GPT-3,5,fixed
