,id,text,model,split,few_shot_condtion
0,07b8593c-50a7-4eaa-8d2a-1843cb0b6d8c,Das Essen war in Ordnung.,GPT-3,0,fixed
1,c79c8f94-def7-4cd9-858a-1e16306300e8,Das Preisniveau ist angemessen.,GPT-3,0,fixed
2,6387a473-3da9-4cd2-a453-39a0ce8206b0,"Das Gericht war okay, aber nicht besonders beeindruckend.",GPT-3,0,fixed
3,5f64985f-6382-4e1c-a3ad-e1f535d2a80b,Die Einrichtung des Restaurants ist durchschnittlich.,GPT-3,0,fixed
4,9d1a059d-cffd-4c48-a5e9-08039c251b0c,Das Restaurant hat eine durchschnittliche Atmosphäre.,GPT-3,0,fixed
5,63fd977e-681a-4061-b7b3-3e46f851ed39,"Das Ambiente war enttäuschend, aber der Service war in Ordnung.",GPT-3,0,fixed
6,65548a13-01e0-484b-86ec-4374ab5be737,"Der Service war enttäuschend, aber das Essen war ausgezeichnet.",GPT-3,0,fixed
7,2b6134f8-4eb2-43f0-81fe-95be5dbd4f62,Der Service war ausgezeichnet.,GPT-3,0,fixed
8,18265106-4d15-456d-9760-7be20ab95b1a,Das Ambiente war enttäuschend und nicht einladend.,GPT-3,0,fixed
9,b6067a8e-35b8-4273-93db-d8f1b51e25a6,Das Essen war leider nicht genießbar.,GPT-3,0,fixed
10,cc06e553-1f5c-453b-87ae-fd15ea8278bb,Das Personal war unfreundlich und langsam.,GPT-3,0,fixed
11,c8be7857-dd32-4bd2-8bb3-5b8f1a26246d,Das Servicepersonal war sehr unfreundlich und unprofessionell.,GPT-3,0,fixed
12,937f67d5-7884-4d98-aa56-b047045e3120,Ich war von dem Restaurant sehr enttäuscht.,GPT-3,0,fixed
13,e2377a06-80bc-4ea4-80ec-8c86a6530cb0,Das Ambiente ist sehr angenehm.,GPT-3,0,fixed
14,bfa4275d-4d2d-4e78-9eec-a6721da30978,Der Service war okay.,GPT-3,0,fixed
15,40def7ad-03fa-4606-b50f-9b413d275830,"Das Essen war okay, aber insgesamt war es nichts Besonderes.",GPT-3,0,fixed
16,14bd2167-f76f-487a-92dc-da41428c49f0,Sehr empfehlenswert!,GPT-3,0,fixed
17,b5510a56-d8cb-4a66-9dde-052e7d97edcf,Der Preis ist angemessen.,GPT-3,0,fixed
18,9fea5907-1a70-46e5-bfe6-575fc73cf90b,Das Restaurant hat eine durchschnittliche Atmosphäre.,GPT-3,0,fixed
