id,second_annotator_comment,annotation,aspect_available_without_judgement,text
7a8af706-b7e9-40db-80ca-03fb392df7d6,,,✅,"Die Gäste, die dann noch im Restaurant sind, haben eben Pech."
0eee5bde-a56e-490c-865e-ee38b5b68b02,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,Schade!
92ceb6b4-7d93-4b9f-a08c-645318d605a4,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
",,Das Ambiente ist auch super und für ein Bräustüberl absolut stimmig.
8bc6666b-9a3c-408c-86dc-a56726e9a22a,,"('GENERAL-IMPRESSION', 'POSITIVE', 'LOC')
",,Hier waren wir nach einem Konzert in der LOC und es hat uns sehr gut gefallen.
709d6b9c-9565-46fb-8b34-b442e186b7a7,,"('GENERAL-IMPRESSION', 'POSITIVE', 'Lokal')
",,Und ich weiß dass ich niemals irgendwo anders eine Haxe testen werde und hoffe einfach nur dass dieses Lokal uns noch lange erhalten bleibt.
f4547f28-7222-42e0-b477-c7c8e4c58e2c,,,✅,"Da slle Köche sus LOC kommen, wäre ein Coaching mit einem Könner angebracht."
dccc0686-8165-4f9d-982a-f80a2a060191,,"('FOOD', 'POSITIVE', 'Lammkoteletts')
('FOOD', 'POSITIVE', 'Fusili mit salciche3')
('FOOD', 'NEGATIVE', 'Mozarella')
",,"Das Essen : Licht und Schatten: die Antipasti misto mit billigen Mozarella - die Lammkoteletts waren dafür 1a, ebenso die Fusili mit salciche3."
ef331aea-c581-4ec9-be31-10f239834542,,,✅,Tische blieben auch den restlichen Abend frei.
06aacbb0-fc65-4bc5-8068-7d743f34d32a,,"('AMBIENCE', 'POSITIVE', 'Räumen')
('FOOD', 'POSITIVE', 'Essen')
('PRICE', 'NEGATIVE', 'Köbesse')
",,"Der Laden ist ein wahrer Fuchsbau mit zahlreichen urigen Räumen, die Köbesse sind grimmig-gleichgültig, das Essen gut-bürgerlich."
2d1ab6cd-00c1-47ba-b342-eb5cae2332ed,,"('SERVICE', 'POSITIVE', 'Team')
('SERVICE', 'POSITIVE', 'Chefs')
('FOOD', 'POSITIVE', 'Küche')
('SERVICE', 'POSITIVE', 'Personal')
",,"Man muss dem gesamten Team mit ihren Chefs großen Respekt zollen, wie sie es in der Gastronomiebranche geschafft haben - in diesen verrückten schwierigen vergangenen 2 Jahren- eine tolle Küche und ausgesprochen nettes Personal zu halten und zu motivieren, bei einer nicht mehr reichlich vorhandenen Auswahl des gleichen."
cde5a7d6-85a0-44ac-9915-adf6b0d0008c,,"('FOOD', 'NEGATIVE', 'Pizza')
",,"), da die Pizza so schlecht und unappetitlich war."
6054bffa-0f93-4e26-825f-37599a1978fa,,"('FOOD', 'POSITIVE', 'rote Bete')
('FOOD', 'POSITIVE', 'Vorspeise')
",,Die Vorspeise (rote Bete) war sehr lecker.
ed96fef7-fcc0-47fa-808f-9c101f87de52,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,"Nur noch Masse obwohl der Service es nicht mehr schafft.Seezungen nicht gut, trocken und nur teuer."
340810a7-c0d7-44d2-84ae-4d324f0d65f9,,"('PRICE', 'NEGATIVE', 'Kölsch')
",,"Preise für das Kölsch (0,2 l) empfinde ich etwas übertrieben."
5bdfe275-f3a7-49f0-ae6c-c92b76d60a97,,,✅,Wir hatten beide als Vorspeise das Rindertartar - in mild aber auch scharf.
83945dc1-8aa4-4fe6-bf08-b253a2c97ec9,,"('SERVICE', 'NEGATIVE', 'Service')
",,Der Service ist eine Katastrophe!
c2c25218-b301-4cb2-95c0-0309f2cd6522,,,✅,Teller blieben nach dem LOC fast eine Stunde noch auf dem Tisch stehen.
5cf16caf-a6f1-42a6-8af7-df1c91ad85c0,,"('FOOD', 'NEUTRAL', 'Schnitzel')
",,Das Schnitzel okay.
1fd173e0-d865-4f0e-809f-b367ac6bb98e,,"('FOOD', 'POSITIVE', 'Essen')
('AMBIENCE', 'POSITIVE', 'Spielplatz')
",,Gutes Essen Schöner Spielplatz
82fbab37-81ed-4f32-9aa6-6559a14732f4,,,✅,Wir waren auf einem Sonntagabend hier.
525c6dd2-c0eb-4f5d-baec-bfb28d47af0b,,"('FOOD', 'NEGATIVE', 'NULL')
",,Geschmacklich war es leider auch absolut traurig.
74a03f12-b7d7-40c5-900b-3b97479c3c9f,,,,Ich hatte da aber auch keine Lust mehr danach zu fragen.
9e3f9f32-075f-4cd2-b022-ef591dd405d6,,"('FOOD', 'NEUTRAL', 'NULL')
",,"das Frühstück wird als Highlight auf Etageren serviert, die Auswahl der Produkte entspricht dem Standard, leider nicht außergewöhnlich oder detailverliebt angerichtet."
c0016a3c-5409-4420-8b95-8b957125211e,,,✅,"Noch einmal draußen sitzen, den Abend genießen und Schnorr Bräu trinken."
3e7f9f62-2604-481c-bf18-25bf18a6cf98,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
('SERVICE', 'POSITIVE', 'Dario')
",,Dario war ein super Kellner und hat den Abend zu einer sehr schönen Erinnerung gemacht.
b56408e8-e062-41fc-9ca9-8e40aab206fa,,"('SERVICE', 'NEGATIVE', 'NULL')
",,"Ähnliches beobachteten wir dann wiederholt, wurden immernoch nicht bedient und verließen dann das Café."
e753718b-3c54-4b3e-923a-df60d11bc9b9,,"('PRICE', 'NEGATIVE', 'Preis')
",✅,"Die große Platte beinhaltete zwar 12 Beilagen, aber dieser Preis war nicht fair."
785d2d71-3abf-457d-bfbf-c5abdfacc6d5,,"('SERVICE', 'POSITIVE', 'NULL')
",,"Nach wie vor super, mega aufmerksam und freundlich."
f6784649-2736-4759-a342-77d8f6c2cd41,,"('SERVICE', 'NEGATIVE', 'NULL')
",,"Die gewünschte Beilage war auf der Speisekarte, da wär etwas mehr Flexibilität wünschenswer."
8e4475b6-23c4-4449-93f5-b60aea5dae85,,,✅,Der Laden hat genau einen(!)
b2f7122a-67e5-4c37-839c-ae8f826171f1,,"('SERVICE', 'NEGATIVE', 'Servicepersonal')
",,Das Servicepersonal ist unfreundlich bis respektlos.
118a3ed1-9dde-4907-8db9-7e91d7fd5252,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,"Schade, das war keine Empfehlung um hier noch mal mit Familie oder Freunden hinzugehen."
88f5df13-2099-48be-b264-1bf5512ddfb0,,"('SERVICE', 'POSITIVE', 'Service')
('FOOD', 'POSITIVE', 'Essen')
('FOOD', 'POSITIVE', 'Bier')
",,"Schneller freundlicher Service im Restaurant, Es bleibt natürlich Großgastronomie, aber eine die gut funktioniert und in der das Essen uns geschmeckt hat, das Bier ebenfalls."
6d8a5e75-c446-48b9-a190-743987cb78ee,,"('FOOD', 'POSITIVE', 'NULL')
('SERVICE', 'POSITIVE', 'Service')
",,"Top Service, dazu lecker und gute anzusehen."
3fa80fdd-79a7-47f4-ac99-96d49d390ab2,,"('FOOD', 'POSITIVE', 'Frühstück')
",,Frühstück war super lecker.
5301dcee-77b4-485e-96f6-34e393c95ba0,,,✅,"Zum guten Schluss muss ich leider noch ergänzend erwähnen, dass wir beide eigentlich unmittelbar nach Verlassen des Restaurants LOC mit Toilettenfolgen hatten."
48f98c5e-f8ac-4bb6-b6cc-0b99dfd9f7d8,,"('SERVICE', 'NEGATIVE', 'Kellner')
",,Sehr unhöflicher Kellner.
55858c4a-69ab-49d0-a367-aab17fa07344,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,"Absolut unprofessionell und unhöflich.Insgesamt also guter Start, unangenehmes Ende."
46ba8881-3bb7-4a55-81e2-44cfee848a31,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,Aber anderswo kostet es ja dasselbe.Wir kommen wieder.
8377f13d-b27d-4f4c-8e6d-7f448abbc445,,"('FOOD', 'POSITIVE', 'Wein Empfehlung')
",,Auch die Wein Empfehlung war super.
46ddaac1-0d6e-450a-97cb-0417f1b2ec0f,,"('FOOD', 'NEGATIVE', 'Tappas')
",,Die Tappas dagegen waren absolut unterirdisch und gelinde gesagt eine Frechheit.
9c245d48-d7d2-4308-a6a6-18a3b4eb1d26,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,Nun aber zum Essen.Ich bestellte mir eine Portion warmer Leberkäse und meine Frau eine LOC.
de93d29d-83b3-4551-a340-3098cf53aa14,,"('AMBIENCE', 'NEGATIVE', 'Live-Musik')
",,"Die Live-Musik durch einen ""Alleinunterhalter"" ist auf Pop getrimmt (mit Gesang) und viel zu laut."
9230f175-758d-4b77-860e-d993fdac2e20,,"('FOOD', 'NEUTRAL', 'Essen')
",,Essen ist in Ordnung.
ca3f985a-6887-46ec-bc78-b146cb25dacc,,"('FOOD', 'POSITIVE', 'Essen')
",,Das Essen war sehr gut!
b3000eb7-235d-49f4-b966-354b38421549,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,Abzocke pur.Bei der Bestellung wird ich gefragt ob ich meine Bratkartoffeln mit Zwiebeln möchte.
a5fb7656-6782-4d96-ad13-b304d96bc4ab,,,,Keine Ahnung warum man solche Möchtegern - Security auf die Gesellschaft loslässt.
9d853b9d-07d1-4555-9347-a9f668268e5e,,,,Stühle beim Putzen aufstellen?
4feb5a8a-b861-4f1c-80e7-bf71a7cab9d5,,,,LOC einen Stock höher.
0995ff99-95d4-4d63-9b9b-6dfc57653d7f,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,"Rundum ein schönes Erlebnis, jederzeit wieder."
134870e0-c2a5-4da7-a78c-6b814fb03836,,"('SERVICE', 'NEGATIVE', 'NULL')
",,"Schaute neue Gäste an, aber sich um sie zu kümmern war dann wohl nicht angedacht."
2fdda901-a4d4-4313-9f4d-831196fefe1b,,"('SERVICE', 'NEGATIVE', 'NULL')
",,Getränk nachbestellt und wieder mehr als 10 Minute darauf warten müssen.
a4eceafa-28b4-4260-a2a8-bbeed1c99087,,"('SERVICE', 'NEGATIVE', 'Service')
",,Aber der Service ließ zu Wünschen übrig.
dde3877b-522b-4cd3-9cf5-1cc0b6d329d0,,"('AMBIENCE', 'POSITIVE', 'Ambiente')
",,Tolles und gemütliches Ambiente
2d688bdb-40de-4e2b-9961-0353b4cef0ff,,"('SERVICE', 'POSITIVE', 'Service')
('FOOD', 'POSITIVE', 'Fleisch')
",,Hervorragender Service und Fleisch von Spitzenqualität.
2d3dd382-ce81-4c40-95cf-278b5b815882,,,✅,Ich hatte das Essen anders in Erinnerung.
9e1c468d-2775-49eb-b988-e48f9a0b2a17,,,✅,"Bitte macht, dass es so mega lecker wie früher wird!!"
b35f5568-9889-49f6-98f4-66ebb99020fb,,"('FOOD', 'NEUTRAL', 'Hamburger')
",,Der Hamburger meines Mannes war ok.
cf11aa4f-3934-43d9-8a25-3d5c70b0f4af,,"('FOOD', 'POSITIVE', 'Speisen')
('FOOD', 'POSITIVE', 'Getränken')
",,Tolle Auswahl an Speisen und Getränken.
d631afb8-0b4c-413b-b307-d8eae099e070,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,Von der Vorspeise bis zum Dessert einfach klasse.Auch als allein Reisende wurde ich freundlich und herzlich bedient.
51e18638-c70b-4a16-91c2-08c3f65eef0b,,"('SERVICE', 'NEGATIVE', 'NULL')
",✅,"Eine halbe Stunde nach der Bestellung des Weines (LOC) wurden wir über dessen nicht mehr Vorhandensein informiert, und es dauerte 1 weitere Stunde bis der Alternativwein serviert wurde."
acbf9139-6e2c-4764-91d0-c46d1a92763f,,,✅,Als LOC genieße ich natürlich das Augustiner Bier.
43c4a560-372e-4022-939a-64594145336d,,"('FOOD', 'NEGATIVE', 'Vorspeise')
('FOOD', 'NEGATIVE', 'Paprika Frischkäse')
('FOOD', 'NEGATIVE', 'Datteln')
",,Vorspeise trieft leider vor Fett egal ob Paprika Frischkäse oder Datteln.
86f9a78c-3b1a-44ab-96b6-b7e4a5af18ee,,"('SERVICE', 'POSITIVE', 'Wirt')
",✅,"Das allerbeste, obwohl wir recht kurzfristig reservierten und das Lokal ausgebucht war, fand der Wirt noch ein Plätzchen für uns."
44583247-4a1d-40c4-99b9-a3e33712f1e3,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,"Das Personal ist freundlich, die Toiletten sind sauber, Ich kann es nur empfehlen.Und ein ganz besonderes Lob an den Humorvollen freundlichen Kellner Emanuele."
92bd43c3-ff72-4ae9-b7bb-fde7b1152155,,,,Als wir ankamen warteten ca.
7881f289-65ad-4970-b8aa-df87838b5cae,,"('FOOD', 'NEGATIVE', 'Salat')
('FOOD', 'NEGATIVE', 'Cheeseburger')
",,"Ein Cheeseburger fùr 16 €, kann man ja machen, aber dafür erwartet man mehr als LOC einen winzigen Klecks Salat und unter dem Patty ein sogenanntes Blockhousebrot, quasi ein ein Stück Bouguete auf der Schnittseite angeröstet."
00a95062-473e-4cca-b213-b5ad72fe47e1,,,,"Aber der Spruch, der dann kam, war dann doch zuviel."
2650bd5f-a9ad-4315-8fc2-ada6e2b2cab5,,,✅,Parken im neuen LOC gut möglich.
f1fd7fc8-d9f3-4fbe-aca8-0fd05de0eac9,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,Wir kommen wieder!
