,id,text,model,split,few_shot_condtion
0,7ab7039d-452e-4c70-a94d-15d78dfca767,Ein Häppchen zum Essen.,Llama70B,0,fixed
1,846fa649-91ee-465a-9da1-7b4fca507a1f,Ein Würfelzucker für 10 Cent ist auch ein gutes Preis-Leistungsverhältnis.,Llama70B,0,fixed
2,d6401690-4b49-49da-bd4a-401132883275,Essen war ok.,Llama70B,0,fixed
3,1d01c4d8-4663-4797-ad55-f9f08781e60f,Die Atmosphäre war sehr schön.,Llama70B,0,fixed
4,f513aed5-59f7-4a4a-b98a-f22c5fe51767,Unter den gegebenen Umständen ist das Ambiente durchaus schön.,Llama70B,0,fixed
5,4c7a34fd-c8a7-4a1c-8d9c-395112cdcd96,"Ein Drecklokal und ein Service, der sich nicht von den Tischen unterscheidet.",Llama70B,0,fixed
6,419de96b-4f13-4c89-a5ef-9d516e140582,"Wir waren mit dem Service nicht zufrieden, aber das Essen war lecker.",Llama70B,0,fixed
7,979822e7-c14c-48da-a140-5b8dd041987d,Sehr freundliches und aufmerksames Personal!,Llama70B,0,fixed
8,763ece61-c878-4388-a953-fcf1c878499d,Das Ambiente ist nicht unbedingt ansprechend.,Llama70B,0,fixed
9,da7b8cc7-589c-407f-9f81-adbc95cca3de,Das Essen war eher schlecht.,Llama70B,0,fixed
10,826a4f1c-328b-4b48-af3a-86d4dcd1cad1,Das Personal war sehr unfreundlich und wirkte eher gelangweilt.,Llama70B,0,fixed
11,074d9f0b-d82b-4b4b-96d2-8f0a06aae033,Bedienung war langsam und unfreundlich.,Llama70B,0,fixed
12,9ebeff40-32d0-4286-af39-25846e27bccf,Für die Preise gibt es deutlich besseres Essen in der Umgebung.,Llama70B,0,fixed
13,7698bda0-d5cf-4dda-8b06-9f71416210eb,Das Ambiente ist sehr schön und gemütlich.,Llama70B,0,fixed
14,60af85e3-a9bd-4e5d-bdea-162ffd6cf079,Nette Bedienung aber nicht überragend.,Llama70B,0,fixed
15,a7aee14d-7cd3-424c-a2b7-97bf5237d430,Nicht zu empfehlen.,Llama70B,0,fixed
16,8212e5f6-59d5-463c-8e7a-44a96c84dcb4,Ein unvergessliches Erlebnis.,Llama70B,0,fixed
17,7f4bdb4f-fb70-4e6b-9ab7-ae9b7b1535c7,Besonders gut war der Preis für die Mahlzeit.,Llama70B,0,fixed
18,1da3a01c-23f4-4495-9330-e8b6f31126c0,Das Ambiente war sehr schön.,Llama70B,0,fixed
19,a9325513-14d0-420e-a583-c406a153f18a,"Das Essen war nicht gut, aber das Servicepersonal war sehr nett und die Atmosphäre war wirklich toll.",Llama70B,0,fixed
20,e54df9ce-81bc-4d32-b773-b2deac9553ee,"Das Preisniveau ist sehr hoch, was die Küche und das Ambiente nicht rechtfertigt.",Llama70B,0,fixed
21,646a417b-3808-45c7-af3c-e79480ed48b9,Wir aßen das Schweinefilet mit Kartoffelpuree und das Bratwurstmenü.,Llama70B,0,fixed
22,8897a534-2739-4db9-a95d-0b62c38bbae1,"Preise waren ok, Service war sehr schlecht, Essen war gut und Ambiente war nicht zu wünschen.",Llama70B,0,fixed
23,4c55e4a9-a2b1-4b64-8a10-32eae8c7a9b7,"Ein gutes Essen und ein netter Service, aber die Preise sind überteuert.",Llama70B,0,fixed
24,6b6a4ef9-bf24-4ea9-8af2-59d78b56f91a,"Leider nicht der Kaffee, den wir bestellt haben.",Llama70B,0,fixed
25,1ee791fc-224c-45af-b5cd-895138b7524c,"Die Speisen waren sehr lecker, die Getränkeauswahl gut.",Llama70B,0,fixed
26,2f0baa24-f680-4e02-bcad-aaa971f8da7c,Tolles Preis-Leistungsverhältnis.,Llama70B,0,fixed
27,eb20bf43-42a0-4f04-adcf-801c19f8fbeb,Viel zu laut mit Musik.,Llama70B,0,fixed
28,ce71970a-8690-43ff-b5b2-dd93f1a51a22,"Sehr netter Service, leckeres Essen und gemütliche Atmosphäre.",Llama70B,0,fixed
29,3ece9a96-e169-4bad-9835-03d98f8f0035,"Das Essen war nicht besonders, die Bedienung schnell und freundlich.",Llama70B,0,fixed
30,44b18d07-6bb6-43ea-81bf-ffa306a77df6,Wir sind sehr enttäuscht.,Llama70B,0,fixed
31,39d161f6-5d32-4cb8-adf8-46018502ca14,Wir werden wieder kommen!,Llama70B,0,fixed
32,1b609b1a-16c0-4117-9eff-8163478bccfd,Wir hatten eine sehr schlechte Erfahrung mit diesem Restaurant.,Llama70B,0,fixed
33,27e8536d-9abd-4cd4-8e57-089108bdef11,Ambiente eher karg.,Llama70B,0,fixed
34,12b3c62a-2a3f-4640-8b1a-396778c56221,Mit Abstand das beste Restaurant in der Stadt.,Llama70B,0,fixed
35,2fa15f40-5c65-4b32-952a-b53f6c97dba6,Wir waren sehr zufrieden.,Llama70B,0,fixed
36,a100a2b3-c011-416c-908f-2b80caee7edd,"Bedienung sehr freundlich, Preis-Leistungsverhältnis nicht gut.",Llama70B,0,fixed
37,ba434cfe-fd88-4009-8ea6-672ae7f05781,Noch nie so leckeres Fischfilet gegessen!,Llama70B,0,fixed
38,29a14056-c234-4d3e-aeaa-bfcb2d59bccb,Das Ambiente ist schrecklich.,Llama70B,0,fixed
39,c3708a73-0467-4eab-a824-98e235a2edc7,"Sehr netter und freundlicher Service - schade nur, dass das Essen nicht so gut war.",Llama70B,0,fixed
40,c6ad12d7-b45a-4860-ac15-458274fd47a8,Tolles Restaurant.,Llama70B,0,fixed
41,59356902-fcfa-48e3-b29d-071f551e5fbd,Ein schönes Lokal mit gemütlicher Atmosphäre.,Llama70B,0,fixed
42,87996a2a-1ff6-47f7-b4ed-37ae4829cf44,"Ein gutes Preis-Leistungsverhältnis und ein sehr schmackhaftes Essen, aber leider ein zu teures Getränkeangebot und das Servicepersonal war etwas überfordert.",Llama70B,0,fixed
43,2b340006-11e4-4a12-b5cb-ce45fde29141,Preislich ist es eindeutig im oberen Bereich.,Llama70B,0,fixed
44,999e86ae-608f-4794-ba3c-8a3c252709d1,Die Qualität der Speisen hat leider abgenommen.,Llama70B,0,fixed
45,6f95a051-b6ac-4b58-88c1-432d7398feca,Wir waren sehr enttäuscht von der Bedienung.,Llama70B,0,fixed
46,09d88514-8007-47ef-a8cd-22cfd4456f55,Dieses Ambiente sollte man sich sparen.,Llama70B,0,fixed
47,03fbf0c9-eb70-41a1-9f33-680a3fc607f1,Dafür ist der Preis aber auch viel zu hoch.,Llama70B,0,fixed
48,c7c3496e-7544-43e2-b961-e1fc1358fe81,Wir waren mit 12 Personen im Restaurant.,Llama70B,0,fixed
49,b8395b2a-0288-47b9-a54b-850455182766,Gastfreundschaft wie noch nie erlebt.,Llama70B,0,fixed
50,8e726555-c197-4e0b-a3c2-946406aadcad,Das Preisleistungsverhältnis ist absolut angemessen.,Llama70B,0,fixed
51,de07b98e-973b-4072-9d7c-8bade3f3fb01,Ich habe mich sehr enttäuscht gefühlt.,Llama70B,0,fixed
52,a7aff9fe-9a81-4619-bbcd-ecb4e79bfb7f,Hab leider nur die Torte gegessen.,Llama70B,0,fixed
53,06898d74-e5a9-45fa-a76d-71c4b518bf2b,"Ein Gericht, das ich noch nie gegessen habe, aber sehr lecker war.",Llama70B,0,fixed
54,ae26dcbd-3787-4675-b4e7-9a9fcad939a2,Das Personal war sehr unfreundlich und überhaupt nicht aufmerksam.,Llama70B,0,fixed
55,00d37fd1-8f85-471f-81c8-0003fd926e23,Wir waren schon öfters hier und haben immer gute Speisen bekommen.,Llama70B,0,fixed
56,87f118a6-2ee9-4ea3-aa17-4a40f2833979,Der Preis ist in Ordnung.,Llama70B,0,fixed
