"Unnamed: 0","agreement","annotation_id","annotator","created_at","few_shot_condtion","id","label-explicit","label-implicit","lead_time","model","split","text","updated_at"
0,100.0,29501516,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:13:40.848136Z","random","1c04d86f-183c-4986-842f-cfba2a820539","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","",7.896,"GPT-3",0,"Das Restaurant hat eine positive Gesamtwirkung.","2024-01-19T12:13:40.848156Z"
1,100.0,29501585,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:14:52.203569Z","random","250004f0-49e2-4fab-8315-4635d4a65ef9","[{""end"":45,""text"":""Service"",""start"":38,""labels"":[""SERVICE-NEGATIVE""]}]","[{""end"":22,""text"":""Gesamteindruck war"",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",70.55,"GPT-3",0,"Der Gesamteindruck war okay, aber der Service ließ zu wünschen übrig.","2024-01-19T12:14:52.203591Z"
2,100.0,29501602,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:15:07.641792Z","random","73131855-bf00-41f8-a0aa-bd77f5e4f183","[{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""FOOD-POSITIVE""]},{""end"":9,""text"":""Essen"",""start"":4,""labels"":[""PRICE-NEGATIVE""]}]","",14.547,"GPT-3",0,"Das Essen war zwar ganz gut, aber für den Preis nicht angemessen.","2024-01-19T12:15:07.641810Z"
3,100.0,29501608,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:15:13.377454Z","random","637fc558-634c-4741-80e7-e40745a61524","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEUTRAL""]}]","",4.857,"GPT-3",0,"Das Restaurant war durchschnittlich.","2024-01-19T12:15:13.377469Z"
4,100.0,29501612,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:15:19.157620Z","random","1f43cb60-99ff-4edb-8ae3-dcc99db7b9ca","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-POSITIVE""]}]","",5.005,"GPT-3",0,"Das Restaurant hat uns positiv überrascht.","2024-01-19T12:15:19.157636Z"
5,100.0,29501622,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:15:32.793394Z","random","8a4c371e-ee79-4844-8ba3-5d4383fef112","[{""end"":14,""text"":""Service"",""start"":7,""labels"":[""SERVICE-POSITIVE""]},{""end"":33,""text"":""Essen"",""start"":28,""labels"":[""FOOD-POSITIVE""]}]","[{""end"":51,""text"":""kommen gerne"",""start"":39,""labels"":[""GENERAL-IMPRESSION-POSITIVE-no-phrase""]}]",12.715,"GPT-3",0,"Toller Service und leckeres Essen, wir kommen gerne wieder.","2024-01-19T12:15:32.793412Z"
6,100.0,29501640,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:15:49.070386Z","random","43f9289f-0d92-4f48-886b-905a56a6db19","[{""end"":30,""text"":""Restaurants"",""start"":19,""labels"":[""AMBIENCE-NEUTRAL""]}]","",15.472,"GPT-3",0,"Die Atmosphäre des Restaurants ist weder besonders positiv noch negativ.","2024-01-19T12:15:49.070402Z"
7,100.0,29501665,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:16:14.702511Z","random","f660e027-ed9d-4e8a-8f1e-170ba0030f60","[{""end"":14,""text"":""Restaurant"",""start"":4,""labels"":[""GENERAL-IMPRESSION-NEGATIVE""]},{""end"":66,""text"":""Service"",""start"":59,""labels"":[""SERVICE-POSITIVE""]},{""end"":84,""text"":""Essen"",""start"":79,""labels"":[""FOOD-NEUTRAL""]}]","",24.84,"GPT-3",0,"Das Restaurant hat eine negative Gesamtwertung, obwohl der Service gut und das Essen durchschnittlich ist.","2024-01-19T12:16:14.702531Z"
8,100.0,29499927,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T11:47:14.945826Z","random","99dfec5e-966f-4347-af93-5e2104fe2a3b","[{""end"":14,""text"":""Atmosphäre"",""start"":4,""labels"":[""AMBIENCE-POSITIVE""]}]","",7.059,"GPT-3",0,"Die Atmosphäre war sehr angenehm.","2024-01-19T11:47:14.945844Z"
9,100.0,29501684,"nils-constantin.hellwig@stud.uni-regensburg.de","2024-01-19T12:16:37.391924Z","random","ab428efa-3162-4523-a62e-76b8fa445bee","[{""end"":13,""text"":""Bedienung"",""start"":4,""labels"":[""SERVICE-NEGATIVE""]}]","",21.823,"GPT-3",0,"Die Bedienung war sehr unfreundlich und hat unsere Bestellungen mehrmals falsch aufgenommen.","2024-01-19T12:16:37.391943Z"
