,id,text,model,split,few_shot_condtion
0,1c04d86f-183c-4986-842f-cfba2a820539,Das Restaurant hat eine positive Gesamtwirkung.,GPT-3,0,random
1,250004f0-49e2-4fab-8315-4635d4a65ef9,"Der Gesamteindruck war okay, aber der Service ließ zu wünschen übrig.",GPT-3,0,random
2,73131855-bf00-41f8-a0aa-bd77f5e4f183,"Das Essen war zwar ganz gut, aber für den Preis nicht angemessen.",GPT-3,0,random
3,637fc558-634c-4741-80e7-e40745a61524,Das Restaurant war durchschnittlich.,GPT-3,0,random
4,1f43cb60-99ff-4edb-8ae3-dcc99db7b9ca,Das Restaurant hat uns positiv überrascht.,GPT-3,0,random
5,8a4c371e-ee79-4844-8ba3-5d4383fef112,"Toller Service und leckeres Essen, wir kommen gerne wieder.",GPT-3,0,random
6,43f9289f-0d92-4f48-886b-905a56a6db19,Die Atmosphäre des Restaurants ist weder besonders positiv noch negativ.,GPT-3,0,random
7,f660e027-ed9d-4e8a-8f1e-170ba0030f60,"Das Restaurant hat eine negative Gesamtwertung, obwohl der Service gut und das Essen durchschnittlich ist.",GPT-3,0,random
8,99dfec5e-966f-4347-af93-5e2104fe2a3b,Die Atmosphäre war sehr angenehm.,GPT-3,0,random
9,ab428efa-3162-4523-a62e-76b8fa445bee,Die Bedienung war sehr unfreundlich und hat unsere Bestellungen mehrmals falsch aufgenommen.,GPT-3,0,random
10,d18f439b-cb25-4c9b-a3e6-dc80c5f04533,"Das Restaurant war okay, das Essen und das Ambiente waren jedoch nichts Besonderes.",GPT-3,0,random
11,8a065698-0c22-4c57-be6c-beb6fed2a897,Das Essen war okay.,GPT-3,0,random
12,66016976-4839-4042-981c-793e88788b0c,"Das Essen war in Ordnung, aber der Preis war definitiv zu hoch.",GPT-3,0,random
13,d4c1d2f2-9890-4bc6-81eb-08b9a1b24e5e,Das Essen war köstlich.,GPT-3,0,random
14,c85a5653-9c58-4158-a3e9-aa7ac2698b25,Der Geschmack des Essens war enttäuschend.,GPT-3,0,random
15,421f58c9-0bfb-46bc-9637-4d738d1aef50,Das Essen war ausgezeichnet.,GPT-3,0,random
16,a47a861a-26c9-44df-b6f7-836de3b12981,Das Preisniveau ist angemessen.,GPT-3,0,random
17,39e29c2b-f075-4f09-9dd7-55615b353345,Es war okay.,GPT-3,0,random
18,b8e42701-0cbb-4dde-8b0d-0694ad0a842d,"Es war okay, aber nichts Besonderes.",GPT-3,0,random
19,eb11fec1-37b1-4793-8c8c-309220ae8a94,Das Restaurant hat eine angenehme Atmosphäre.,GPT-3,0,random
20,cc56dbb0-868a-4274-9e7b-e122d21b6357,Es war ein gelungener Abend.,GPT-3,0,random
21,db2ab4ff-1222-40dd-a1b8-c40a64d2e155,Das Ambiente ist sehr angenehm und einladend.,GPT-3,0,random
22,dbda1260-7d77-44c7-98b8-4303fdb504b6,Das Ambiente war enttäuschend und das Essen war nicht gut.,GPT-3,0,random
23,924ce48f-f1fc-4bf2-859f-2a5b94348937,Das Essen war in Ordnung.,GPT-3,0,random
24,d2293718-ed5c-4527-af4c-7cf67f660ea5,Der Service war ausgezeichnet.,GPT-3,0,random
25,08c450a7-5172-4931-bba0-9bf20d9a5d86,Das Restaurant hat einen guten Service.,GPT-3,0,random
26,e48ea7ff-ce2d-4e9e-8143-2547adab2f1b,Schlechtes Preis-Leistungs-Verhältnis.,GPT-3,0,random
27,a3af2ed9-47d6-4a0b-bff2-94c373523d41,Der Preis ist viel zu hoch und der Service lässt zu wünschen übrig.,GPT-3,0,random
28,fe0df614-14c9-4872-9426-539193fa5121,Die Bedienung war unfreundlich und langsam.,GPT-3,0,random
29,f55c1bfd-1094-4ffb-873f-c36f4c975ccc,Das Restaurant hat eine durchschnittliche Atmosphäre.,GPT-3,0,random
30,ae859eb6-0217-4a3b-ac83-00da0af58874,"Insgesamt war ich mit dem Restaurant zufrieden, aber das Preis-Leistungs-Verhältnis könnte besser sein.",GPT-3,0,random
31,04c80fe7-9f08-44ef-a088-d1912e9e9769,Das Preis-Leistungsverhältnis ist angemessen.,GPT-3,0,random
32,c530b4ad-e58e-4d49-b26a-8712aa55ca02,"Das Preisniveau ist angemessen, aber das Ambiente lässt zu wünschen übrig.",GPT-3,0,random
33,46027531-924d-4bb7-91be-cd3b9fcf00b9,Ein rundum gelungener Besuch!,GPT-3,0,random
34,89fd85ec-0599-4c54-ac82-b962e7f17f9b,Das Essen war leider enttäuschend.,GPT-3,0,random
35,d971edf9-f3f5-4450-b50b-90a0fee16577,Das Restaurant hat uns enttäuscht.,GPT-3,0,random
36,200d4496-e42b-4822-822e-10f07db4c487,"Das Ambiente ist sehr angenehm, aber insgesamt war der Besuch enttäuschend.",GPT-3,0,random
37,28f2b80b-b0ca-44a3-a102-3c75067292d8,Die Preise sind angemessen.,GPT-3,0,random
38,e13faeb8-b150-446c-9efb-8f3562a0fe37,"Das Essen war gut, aber die Preise waren zu hoch.",GPT-3,0,random
39,965c77e4-42ef-4ea1-8805-5487867ef6e3,"Das Essen war enttäuschend, aber der Preis war angemessen und das Ambiente war schön.",GPT-3,0,random
40,697c6b78-ed3b-4107-9f06-310c2a408378,Das Essen war leider nicht gut.,GPT-3,0,random
41,9282661c-a42c-4a97-b6d3-1b2d1b4567ab,Die Atmosphäre war sehr angenehm.,GPT-3,0,random
42,15c9d742-a50d-4998-846d-3f4342e647b6,Das Ambiente war enttäuschend.,GPT-3,0,random
43,4e56fa11-d1b6-4d5a-b2e9-cf29664bbcab,Die Preise sind angemessen.,GPT-3,0,random
44,3a345349-cb45-4bee-956e-bae4d9e7546c,Das Essen war leider nicht besonders gut.,GPT-3,0,random
45,8cc6aab7-8c3c-4d1a-8954-4de85bb3c61e,Ein tolles Restaurant mit einer gemütlichen Atmosphäre und leckerem Essen.,GPT-3,0,random
46,08c497f0-81f8-469c-83e7-9911e2389a1c,Das Restaurant hinterließ bei uns einen eher durchschnittlichen Eindruck.,GPT-3,0,random
47,ef6573bd-9bb0-48d5-a8b9-ad22dcfed82b,Die Atmosphäre war sehr angenehm.,GPT-3,0,random
48,7e2a39aa-c51d-4a87-88c7-eb7d3beafd96,"Der Service war gut, aber insgesamt war der Besuch enttäuschend.",GPT-3,0,random
49,ead0acc9-705c-404e-af19-d47a203b872a,Das Essen war in Ordnung und das Ambiente war auch ganz nett.,GPT-3,0,random
50,a15365cd-84dd-4c80-a7fd-731910c0db5b,Das Essen war köstlich.,GPT-3,0,random
51,e1534759-e24c-44c6-b462-3c582a9d455b,Der Service war super freundlich und das Ambiente sehr angenehm.,GPT-3,0,random
52,436c89ef-df45-4782-8f5a-5e83097c9659,Der Service war in Ordnung.,GPT-3,0,random
53,ef5a419f-e9fa-4030-ab0f-4e5076eaa638,Es war okay.,GPT-3,0,random
54,a00d4ff4-dd75-4409-a1b2-404239f021ad,"Das Essen war zwar gut, aber der Preis war angemessen.",GPT-3,0,random
55,8bb03f19-f05d-437f-986c-dad06f3e0cf1,Das Ambiente war okay.,GPT-3,0,random
56,e217729d-e089-44cb-a51a-f764e072f843,Das Restaurant hat mich enttäuscht.,GPT-3,0,random
57,afe8ee62-124f-45d2-ab70-3f6a27c62abf,Es war okay.,GPT-3,0,random
58,6aec619f-9b2a-4e9e-8b96-2433ca8f5635,Das Essen war leider enttäuschend.,GPT-3,0,random
59,c9b24c8c-d51b-47f6-9707-50a40c3b7879,Der Service war sehr aufmerksam und zuvorkommend.,GPT-3,0,random
